date,signal_strength,exposure_spy,exposure_ggal,shock_nextday
2025-12-24,0.3,0.85,0.15,0
2025-12-24,0.3,1.0,0.0,1
2025-12-24,0.3,1.0,0.0,1
2025-12-24,0.3,1.0,0.0,1
